NOME | SEXO | CPF | PESO | ALTURA | IDADE | TEMPO_TREINO (MESES) | BAIRRO (SÃO CARLOS) 

Ana Clara Souza|F|11122233344|62.5|1.65|24|8|Centro
Bruno Henrique Lima|M|22233344455|80.0|1.78|31|36|Jardim Paulistano
Carla Mendes Rocha|F|33344455566|57.3|1.60|22|5|Vila Prado
Diego Ferreira Costa|M|44455566677|90.2|1.82|28|24|Santa Felicia
Eduarda Pires Alves|F|55566677788|68.0|1.70|35|18|Cidade Aracy
Felipe Gomes Martins|M|66677788899|75.5|1.75|27|12|Jardim Ricetti
Gabriela Torres Nunes|F|77788899900|54.8|1.58|20|3|Centro
Henrique Bastos Dias|M|88899900011|85.3|1.80|33|48|Jardim Paraiso
Isabela Cardoso Melo|F|99900011122|60.1|1.63|26|9|Vila Nery
Joao Pedro Ribeiro|M|00011122233|70.0|1.72|29|15|Santa Felicia
Karina Oliveira Pereira|F|11223344556|65.9|1.67|32|30|Parque Arnold Schimidt
Lucas Araujo Vieira|M|22334455667|78.4|1.76|25|20|Jardim Paulistano
Mariana Castro Silva|F|33445566778|55.2|1.61|21|6|Vila Prado
Nicolas Barros Teixeira|M|44556677889|92.0|1.85|38|60|Centro
Olivia Nascimento Santos|F|55667788990|59.7|1.64|23|7|Cidade Aracy
Paulo Sergio Moreira|M|66778899001|83.6|1.79|40|72|Santa Felicia
Queila Rodrigues Faria|F|77889900112|70.5|1.69|30|22|Jardim Ricetti
Rafael Cunha Monteiro|M|88990011223|76.8|1.74|34|40|Vila Nery
Sabrina Lopes Guimaraes|F|99001122334|61.3|1.66|27|11|Jardim Paraiso
Thiago Andrade Campos|M|00112233445|88.1|1.81|36|54|Parque Arnold Schimidt
Beatriz Fonseca Lima|F|12233445566|58.0|1.62|22|4|Centro
Caio Mendonca Prado|M|23344556677|77.0|1.77|26|16|Vila Prado
Daniela Rocha Vieira|F|34455667788|63.4|1.66|29|25|Santa Felicia
Eduardo Alves Souza|M|45566778899|82.5|1.80|31|33|Jardim Paulistano
Fernanda Costa Melo|F|56677889900|55.9|1.59|20|2|Cidade Aracy
Gustavo Nunes Barros|M|67788990011|79.3|1.74|28|19|Jardim Ricetti
Helena Teixeira Ramos|F|78899001122|66.2|1.68|33|28|Centro
Igor Santos Cunha|M|89900112233|91.0|1.83|37|50|Vila Nery
Juliana Pereira Gomes|F|90011223344|59.0|1.63|24|10|Parque Arnold Schimidt
Kevin Monteiro Dias|M|01122334455|74.6|1.73|22|6|Santa Felicia
Larissa Campos Araujo|F|12344556678|61.8|1.65|27|14|Jardim Paraiso
Matheus Guimaraes Lima|M|23455667789|86.0|1.82|30|35|Jardim Paulistano
Natalia Moreira Faria|F|34566778890|53.7|1.58|21|3|Vila Prado
Otavio Ribeiro Castro|M|45677889901|80.5|1.78|35|45|Centro
Patricia Vieira Alves|F|56788990012|67.1|1.69|32|26|Cidade Aracy
Renato Prado Oliveira|M|67899001123|75.0|1.75|29|21|Santa Felicia
